FECHA DE PUBLICACIÓN;CÓDIGO DEL PROCESO;TIPO DE PROCESO;OBJETO DEL PROCESO;PRESUPUESTO REFERENCIAL - USD;PARTIDA PRESUPUESTARIA;MONTO DE LA ADJUDICACIÓN - USD;ETAPA DE LA CONTRATACIÓN;IDENTIFICACIÓN DEL CONTRATISTA;LINK PARA DESCARGAR EL PROCESO DE CONTRATACIÓN DESDE EL PORTAL DE COMPRAS PÚBLICAS
16/3/2026 18:00;CPC-ESPOCH-2026-01 ;CONSULTORÍA;CONTRATACIÓN DE LA CONSULTORÍA DE AUDITORÍA EXTERNA PARA DETERMINAR EL CUMPLIMIENTO DEL CARÁCTER NO LUCRATIVO DEL EJERCICIO FISCAL 2025 DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;14900;01 00 000 001 530602 0601 003 0000 0000;;Adjudicado ;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=k3myqZszV5Ze3btyFLtyj1c4MEueYmusWaNTt7OVf_I,
20/3/2026 18:00;LICO-ESPOCH-2026-001;LICITACIÓN ;MANTENIMIENTO DEL EDIFICIO DE LABORATORIOS DE LAS CARRERAS DE GASTRONOMÍA NUTRICIÓN Y DIETÉTICA ESPOCH CAMPUS RIOBAMBA;70000;82 00 025 001 750501 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0sDqfmOHrwijvesccJ8XBs1-EOAMC8sz_6Yl-e8xwaU,
30/3/2026 18:00;LICO-ESPOCH-2026-003;LICITACIÓN;ADECUACIONES EN LOS EDIFICIOS NO. UA3N05 120 04 - UA3N05 120 24 - UA3N05 120 25 DE LA FACULTAD DE CIENCIAS;250000;82 00 025 001 750501 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0uO_MMOuica4zZVvf28ZezrkPJOJQpaIrlDZGiOeoC0,
17/3/2026 18:00;LICO-ESPOCH-2026-005;LICITACIÓN;ADECUACION DE LA BIBLIOTECA DE LA FACULTAD DE CIENCIAS PECUARIAS;230000;83 00 025 001 750501 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1p6RLxg2zPsQaSh8sq2dtRwZt9jMjjJ-X_bcuRShscY,
24/3/2026 18:00;LICS-ESPOCH-2026-001;LICITACIÓN;CONTRATACIÓN DE LOS SERVICIOS DE AGENCIAS DE VIAJES PARA LA EMISIÓN DE PASAJES AÉREOS EN RUTAS NACIONALES E INTERNACIONALES PARA LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;241858,69;01 00 000 001 530301 0601 001 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0m18iNc5zPAXy97EXTYLYGQKQkBAZW5jVXCcZPAL4No,
2/3/2026 18:00;SIE-ESPOCH-2026-02 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE EQUIPOS DE LABORATORIO PARA SEDE ORELLANA DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;563824;82 00 030 001 840104 0601 003 0640 009;535,499;Adjudicado ;FISMED-ECU S.A.S 1793207939001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tLdwwt9PGMfVneR4-r2aeZGcBSrynhvMRBqBhEmOmlM,
6/3/2026 16:00;SIE-ESPOCH-2026-04 ;SUBASTA INVERSA ELECTRÓNICA;CONTRATACIÓN DEL SERVICIO DE LICENCIAMIENTO ACADÉMICO Y ALMACENAMIENTO EN LA NUBE DE MICROSOFT;67000,47;01 00 000 001 530702 0601 003 0000 0000;63582,98;Ejecución de Contrato;BEDUCACIÓN S. A  1792227976001;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=F4KUqYyIMJUgm8EaWZjEvhNXAs_aKqy4-BoUjk01FLE,
10/3/2026 18:00;SIE-ESPOCH-2026-05 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE MEDICAMENTOS PARA USO EN EL CENTRO DE ATENCIÓN Y SALUD INTEGRAL CASI – ESPOCH;31250;01 00 000 001 530809 0601 003 0000 0000;28000;Adjudicado ; ASOFARMADIS DISTRIBUIDORA FARMACEUTICA CIA. LTDA   1792323002001 ;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1fEPF3QjpZrzD6rW9qOSki6RDI-hHpSjvkdokODel58,
9/3/2026 18:00;SIE-ESPOCH-2026-06 ;SUBASTA INVERSA ELECTRÓNICA;CONTRATACIÓN DE SERVICIOS MÉDICOS PARA LA REALIZACIÓN DE EXÁMENES OCUPACIONALES A LOS SERVIDORES DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO – AŃO 2026;16511;01 00 000 001 530609 0601 001 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=wL7xLaZvmPziD8xN7jCK013q7R7CYBPs6wqYwSzCK9M,
"2026-04-06 18:00:00	";LICO-ESPOCH-2026-003 ;LICITACIÓN;ADECUACIONES EN LOS EDIFICIOS NO. UA3N0103009 - UA3N0103011 - UA3N0103012 - UA3N0103021 - UA3N0103022 DE LA FACULTAD DE SALUD PUBLICA CAMPUS 1;250000;82 000 025 001 75050 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ODvHHmCcSctc668pSnWvI4Fz1D2YpdqvpUmmRZk7vdo,
2/4/2026 18:00;SIE-ESPOCH-2026-07 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de equipos para la captación y monitoreo de material aerobiológico para el Proyecto de Investigación: “evaluación de material particulado aerobiológico (polen) en la ciudad de Riobamba” DI-ESPOCH;23304,16;83 00 029 001 730829 0601 003 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=JkXLN8kuvrv8nKbsyaARLIE9hi821fRBT9zpFL9Phl8,
6/4/2026 18:00;SIE-ESPOCH-2026-09 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Equipos y Accesorios para el Monitoreo de Fauna Silvestre para el Proyecto de Investigación: “Reconexión de la memoria biocultural con la fauna simbólica en comunidades Kichwa de los Andes centrales del Ecuador” DI - ESPOCH;13948,47;83 00 029 001 730813 0601 003 0000 0000  83 00 029 001 840104 0601 001 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=6W0_IYIK9yhaKbQolPNEI3oHsg_QKqZ0mRquw1yV9GM,
28/4/2026 18:00;VPN-ESPOCH-2026-02 ;Producción Nacional ;SERVICIO DE AUDITORIA POR UNA AGENCIA DE ACREDITACION EN INGENIERIAS CONFINES DE ACREDITACION INTERNACIONAL EURACE DE 12 PROGRAMAS EDUCATIVOS DELA E;578000;01  00 000 001 530601 0601 002 7001 0006;;Apertura de Ofertas;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Wv6TCNZcvG0kLlePrVN9B7FC2eyah_wtRXLDP5mQ_JE,
24/4/2026 16:00;SIE-ESPOCH-2026-25 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE EQUIPOS DE IMAGEN Y VIDEO PARA VARIOS PROYECTO DE VINCULACIÓN Y DEPENDENCIAS DE LA ESPOCH;33565,26;84 00 000 001 840104 0601 003 0000 0000     82 00 000 002 840107 0601 002 7001 0006;;Entrega de Propuesta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MPTb6ceXIfhsFnAod97cUfVLRguSzIUUtSFrhA4sH2M,
"	2026-04-24 18:00:00";SIE-ESPOCH-2026-24 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de equipos, herramientas y materiales de ferretería para varias dependencias de la Escuela Superior Politécnica de Chimborazo;40153,88;84 00 000 001 531404 0601 003 0000 0000    84 00 000 001 530813 0601 001 0000 0000  82 00 000 002 840106 0601 002 7001 0006;;Entrega de Propuesta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=KDZLaDeNFpN_AxKmI4cqRUvRnq65s4FcWBXtt8hdEgY,
24/4/2026 18:00;SIE-ESPOCH-2026-23 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de repuestos para el Espectrómetro de Absorción Atómica para el Proyecto de Investigación: “Desarrollo y evaluación de materiales emergentes para remoción de metales pesados en agua de mina por lotes y flujo continuo” DI – ESPOCH;13029,22;83 00 029 001 730813 0601 003 0000 0000 ;;Entrega de Propuesta;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=LUTIzSsLiEOdkUomtaYGvkzbZVr0wqx2hH2R-jJVkqM,
24/4/2026 18:00;SIE-ESPOCH-2026-22 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Alimento Balanceado para Cerdos para el Proyecto de Investigación: “Estudio del crecimiento del tejido graso muscular bajo factores nutricionales y expresión de genes relacionados con el metabolismo lipídico en tres núcleos genéticos de cerdos criollos de la provincia de Chimborazo.” DI - ESPOCH;12190,13;83 00 029 001 730823 0601 003 0000 0000;;Convalidación de Errores;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_rxSow0SgNjeinvdWeV7XmSQpiNRE1cG_FgsRHFDTto,
15/4/2026 18:00;SIE-ESPOCH-2026-21 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Microscopios para el Análisis de Leche y sus derivados para el Proyecto de Investigación: “Fortalecimiento de la cadena productiva de la leche cruda e industrializada en la parroquia Quimiag, Chimborazo, Ecuador” DI – ESPOCH;136000;83 00 029 001 840104 0601 001 0000 0000;;Convalidación de Errores;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=82agCusme6cI6vKpg37WKj-OVNAMEqRoMPjYTuqI25s,
15/4/2026 18:00;SIE-ESPOCH-2026-20 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE MATERIA PRIMA, PARA EL LABORATORIO ESPECIALIZADO EN BALANCEADOS, PARA LAS ESTACIONES EXPERIMENTALES TUNSHI, PASTAZA, FŔTIMA, MOYOCANCHA Y CAMPUS RIOBAMBA, FACULTAD DE CIENCIAS PECUARIAS- ESCUELA SUPERIOR POLITČCNICA DE CHIMBORAZO;16103,67;82 00 000 001 530814 0601 001 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=FI9YgJWvb3Qkpu-4Je6y6aKN9NnjStdQ_flSXfFt4ME,
"	2026-04-14 18:00:00";SIE-ESPOCH-2026-19 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Pantallas Interactivas para varias dependencias de la ESPOCH;25333,56;82 00 000 002 840104 0601 002 7001 0006;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=eXqNRB2PtF5ndNJYaUbQkkK28WRoo7Fy8nJkHT0E0Ec,
14/4/2026 18:00;SIE-ESPOCH-2026-18 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Materiales para Ensamblaje de Prototipo de Secador para el desarrollo del Proyecto de Innovación: “Modelo de utilidad de un deshidratador modular con almacenamiento de energía (solar) y respaldo de biomasa (batería térmica).” DIETT-ESPOCH.;15456;83 00 029 001 840104 0601 001 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-KgRIYrIg2uBAAU7dDhbNXcjeUANqoWrzNKBEJgppLI,
13/4/2026 18:00;SIE-ESPOCH-2026-16 ;SUBASTA INVERSA ELECTRÓNICA;CONTRATACIÓN DE SERVICIOS EDITORIALES PARA LA ELABORACIÓN Y PUBLICACIÓN DE LIBROS CIENTÍFICOS DIGITALES DE LA ESPOCH;42314,68;83 00 029 001 730204 0601 001 0000 0000;;Negocación;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=HkicHkeDZkaLy94_216lnM1aZelaW5qkAjGVfwc1OJA,
13/4/2026 18:00;SIE-ESPOCH-2026-17 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE MATERIALES DE FERRETERIA PARA EL MANTENIMIENTO DE LA INFRAESTRUCTURA FÍSICA;62892,17;82 00 025 001 730803 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XPyPvic_ig4Ki4fWTSeB1nY-eiNv8IZ7CMqZrWSKlHc,
9/4/2026 18:00;SIE-ESPOCH-2026-15 ;SUBASTA INVERSA ELECTRÓNICA;CONTRATACIÓN DE LOS MANTENIMIENTOS DE LOS SISTEMAS DE FUNCIONAMIENTO DEL CENTRO DE DATOS DURANTE TRES AŃOS;94310,22;01 00 000 001 530704 0601 003 0000 0000 ;;Suspendido ;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1E8zGDX-hjM9YFR1CTk6_hvUbVHk8jLNi9aEWuWTeZM,
"2026-04-09 18:00:00	";SIE-ESPOCH-2026-14 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Equipos e Insumos para la Caracterización de Extractos y Biopolímeros para el Proyecto de Investigación: “Valorización de residuos de frutas nativas de Ecuador mediante el desarrollo de materiales de envase activo de alimentos” DI – ESPOCH;19916;83 00 029 001 840104 0601 001 0000 0000 83 00 029 001 730829 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ARm3AfeZZkzvf5g-iFVou5OTOXMLe-bu_nxwls-FWhA,
9/4/2026 18:00;SIE-ESPOCH-2026-13 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Equipo para Caracterización de Partículas de Relave para el Proyecto de Investigación: “Desarrollo de un tratamiento in situ de relaves mineros para su vertido y recuperación de metales pesados: Aplicación a Zaruma- Ecuador” DI – ESPOCH;31000;83 00 029 001 840104 0601 001 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=GTSRAsAl3cdXGzsJNyBGAPBSUv4Q8vl7E6YoWZItpiY,
8/4/2026 18:00;SIE-ESPOCH-2026-12 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de equipo para monitoreo de variables atmosféricas y calidad del aire para el Proyecto de Investigación.“ Evaluación de los glaciares andinos de los volcanes Chimborazo y Carihuairazo y su impacto ambiental, social y cultural, mediante análisis multivariante” DI – ESPOCH;21216,68;83 00 029 001 840104 0601 001 0000 0000;;Negocación;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IR6ZqqjmsrH1Q9TMPDQpF9fFCu0ibw_DWIhbsqF--YQ,
10/4/2026 12:00;SIE-ESPOCH-2026-11 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE CORTINAS PARA VARIAS DEPENDENCIAS DE LA ESCUELA SUPERIOR POLITÉCNICA DE CHIMBORAZO;51743,25;82 00 000 002 531403 0601 002 7001 0006  82 00 000 002 531403 0601 001 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=cmwj-M3Bi03iGsI3_idldajtC-yLQMDcepXlsdzF070,
8/4/2026 18:00;SIE-ESPOCH-2026-10 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Equipos para la Caracterización Biológica de Andamios Biológicos para el Proyecto de Investigación: “Desarrollo de andamios biomédicos naturales “polímeros y plantas en sinergia” como posible solución a la cicatrización en heridas crónicas” DI - ESPOCH;31082,64;83 00 029 001 840104 0601 001 0000 0000;;Por Adjudicar;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=dbH39u9v2ykGn6IkwbzyeW1YzlpO5tpgQyf--QvqwWA,
6/4/2026 18:00;SIE-ESPOCH-2026-08 ;SUBASTA INVERSA ELECTRÓNICA;Adquisición de Consumibles y Repuestos para ICP-MS para el Proyecto de Investigación: “Estudio de biorremediación de suelos contaminados con la ceniza volcánica empleando compost proveniente de residuos agroindustriales en la provincia de Chimborazo” DI – ESPOCH;15350;83 00 029 001 840104 0601 001 0000 0000  83 00 029 001 730829 0601 003 0000 0000;;Negocación;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=nWBsgN1xiasbmtCIsbJ8fWPKliILmdqGtd43lViDu7I,
16/4/2026 18:00;SIE-ESPOCH-2026-03 ;SUBASTA INVERSA ELECTRÓNICA;ADQUISICIÓN DE UNA BUSETA PARA LA SEDE ORELLANA DE LA ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO;85426,47;82 00 030 001 840105 0601 003 0640 0009;;Convalidación de Errores;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=wYgbxWg7heHd5TBHH5IMHKD85yyb0bHp8qDL0_-_5Qk,
22/4/2026 17:45;LICO-ESPOCH-2026-004 ;LICITACIÓN;VARIOS TRABAJOS DE MANTENIMIENTO EN LOS RECUBRIMIENTOS EXTERIORES DE LOS EDIFICIOS DE LA FACULTAD DE ADMINISTRACION DE EMPRESAS;95300;82 00 025 001 750501 0601 003 0000 0000;;Calificación de Participantes;;https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gvr1MlXt2ZHoHQs08PNi-q0kKfsvzHmcmnyCqfm7lCE,
2026-04-30;;CATÁLOGO ELECTRÓNICO;;1654744,88;;1.654.744,88;;;LISTADO CATALOGO ELECTRONICO ABRIL 2026.pdf
2025-04-30;;INFIMA CUANTIA;;11581,17;;11.581,17;;;Infima Cuantía - Registro.pdf
;;;;4.859.306,67;;;;;
